Model,Entity Precision,Entity Recall,Entity F1,Relationship Precision,Relationship Recall,Relationship F1,Overall F1,Total Entities,Total Relationships,Common Articles
Qwen3-14B (Reference),1.0,1.0,1.0,1.0,1.0,1.0,1.0,266,232,30
Qwen3 1.7B,0.3563218390804598,0.29107981220657275,0.32041343669250644,0.07936507936507936,0.06696428571428571,0.07263922518159807,0.19249999999999998,174,189,30
Qwen3 4B,0.4476987447698745,0.5023474178403756,0.47345132743362833,0.11650485436893204,0.10714285714285714,0.11162790697674417,0.2970521541950113,239,206,30
Qwen3 1.7B Fine-tuned,0.28426395939086296,0.26291079812206575,0.27317073170731715,0.028037383177570093,0.013392857142857142,0.018126888217522657,0.15924426450742243,197,107,30
